Gene	PL_Un1_IN	PL_Un2_IN	PL_Un3_IN	PL_Un1_FL	PL_Un2_FL	PL_Un3_FL	PL_Az1_IN	PL_Az2_IN	PL_Az3_IN	PL_Az1_FL	PL_Az2_FL	PL_Az3_FL	PL_log2OR	PL_rawpval	PL_Padj
PA14_52240,PA14_52250	28	20	28	10	6	4	18	12	38	17	5	36	-1.71939772336682	0.000312419650632214	0.00351564721482179
PA14_03120	20	17	4	0	0	0	14	17	4	0	0	0	-0.179076061902963	0.888075804796481	1
PA14_14780	196	189	81	0	0	0	254	427	386	0	0	0	1.18638496904305	0.545196556729888	1
PA14_44880	0	0	0	7	4	5	0	0	0	6	7	3	0.0412226627265129	0.975100902727066	1
PA14_20290	26	25	25	188	111	239	21	16	22	152	166	144	-0.175322699647003	0.561997795339564	1
PA14_17420,PA14_17440	119	107	94	0	0	0	97	101	105	0	0	0	-0.0726149303371878	0.951093589377018	1
PA14_58620	0	0	0	25	26	22	0	0	0	11	9	2	1.85589455804296	0.27257395698764	0.996172086705791
PA14_61830	0	0	0	903	356	1365	0	0	0	995	709	81	0.49355757822908	0.994172223959557	1
PA14_09630,PA14_09660	0	1	1	6	8	10	0	0	4	4	4	1	2.38961490239894	0.0630943047008354	0.350838838834528
PA14_32590,PA14_32600	13	13	10	0	0	0	10	14	44	0	0	0	0.540854958480372	0.984652235539804	1
PA14_68110,PA14_68120,PA14_68130,PA14_68140	28	13	8	0	0	0	12	6	0	0	0	0	-1.60369906330274	0.418806960251236	1
PA14_17470	2270	1784	671	291	199	242	928	1340	195	176	99	145	-0.332160216437296	0.000706136164573167	0.00720562602344017
PA14_16290,PA14_16300	1	0	0	0	0	0	2	1	0	0	0	0	0.362570079384708	0.843525869092694	1
PA14_68150	0	0	0	4702	1790	2724	0	0	0	3138	2512	336	0.800875174706081	0.772524215339081	1
PA14_05320,PA14_05330,PA14_05340	330	257	187	13	14	9	263	265	290	23	23	113	-1.81770690007769	3.94484780555228e-11	1.23417381345136e-09
PA14_10480	0	0	0	20	16	21	0	0	0	20	28	11	0.0336615343943708	0.977472363535331	1
PA14_46000,PA14_46010	23	10	30	0	0	0	24	9	298	0	0	0	0.813343457585885	0.788957726407893	1
PA14_14300	58	59	57	0	0	0	60	29	25	0	0	0	-0.698629610387042	0.865309616715529	1
PA14_70640	123	82	47	1011	873	779	50	48	36	875	975	2643	-1.2536362445494	7.9912896204076e-16	3.39570172377618e-14
PA14_70390	928	599	417	24	16	9	1036	764	1436	37	23	33	-0.291425285767617	0.305605814814349	1
PA14_01500	7	2	0	0	0	0	0	3	1	0	0	0	-0.666443902859798	0.651754321659728	1
PA14_10800	0	0	0	23	25	23	0	0	0	19	15	35	0.129621058195065	0.913680496559756	1
PA14_40630	49	45	20	74	29	67	35	42	5	84	74	147	-1.33894324111045	4.2131307853948e-07	8.50693854327588e-06
PA14_00050	33	32	8	4	4	28	40	34	22	6	7	17	0.744334875348916	0.154799017332275	0.680112349297819
